item_type,item_number,condition_number,item_and_condition_numbers,image_1_agent,image_2_patient,image_3_distractor,audio
Exp,1,1,item1cond1,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1A.wav
Exp,1,2,item1cond2,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1B.wav
Exp,1,3,item1cond3,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1C.wav
Exp,1,4,item1cond4,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1D.wav
Exp,1,5,item1cond5,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1E.wav
Exp,1,6,item1cond6,brush1-agent.png,brush1-patient.png,brush1-distract.png,Stimuli-1F.wav
Exp,2,1,item2cond1,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2A.wav
Exp,2,2,item2cond2,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2B.wav
Exp,2,3,item2cond3,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2A.wav
Exp,2,4,item2cond4,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2D.wav
Exp,2,5,item2cond5,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2E.wav
Exp,2,6,item2cond6,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Stimuli-2F.wav
Exp,3,1,item3cond1,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3A.wav
Exp,3,2,item3cond2,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3B.wav
Exp,3,3,item3cond3,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3C.wav
Exp,3,4,item3cond4,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3D.wav
Exp,3,5,item3cond5,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3E.wav
Exp,3,6,item3cond6,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Stimuli-3F.wav
Exp,4,1,item4cond1,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4A.wav
Exp,4,2,item4cond2,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4B.wav
Exp,4,3,item4cond3,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4C.wav
Exp,4,4,item4cond4,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4D.wav
Exp,4,5,item4cond5,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4E.wav
Exp,4,6,item4cond6,dance1-agent.png,dance1-patient.png,dance1-distract.png,Stimuli-4F.wav
Exp,5,1,item5cond1,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Stimuli-5A.wav
