item_type,item_number,condition_number,item_and_condition_numbers,image_1_agent,image_2_patient,image_3_distractor,audio
Exp,1,1,item1cond1,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1A.wav
Exp,1,2,item1cond2,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1B.wav
Exp,1,3,item1cond3,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1C.wav
Exp,1,4,item1cond4,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,5,item1cond5,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,6,item1cond6,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,7,item1cond7,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,8,item1cond8,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,2,1,item2cond1,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2A.wav
Exp,2,2,item2cond2,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2B.wav
Exp,2,3,item2cond3,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2C.wav
Exp,2,4,item2cond4,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,5,item2cond5,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,6,item2cond6,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,7,item2cond7,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,8,item2cond8,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,3,1,item3cond1,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3A.wav
Exp,3,2,item3cond2,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3B.wav
Exp,3,3,item3cond3,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3C.wav
Exp,3,4,item3cond4,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,5,item3cond5,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,6,item3cond6,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,7,item3cond7,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,8,item3cond8,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,4,1,item4cond1,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4A.wav
Exp,4,2,item4cond2,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4B.wav
